a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240116.2-2
accounts-qml-module 0.7-6
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
aom 3.9.1-1
apache-orc 2.0.1-2
arandr 0.1.11-3
archlinux-keyring 20240709-1
argon2 20190702-5
aribb24 1.0.3-4
arrow 16.1.0-2
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.3.0-1
attica5 5.116.0-1
attr 2.5.2-1
audio-recorder 3.3.4-1
audit 4.0.1-3
autoconf 2.72-1
automake 1.16.5-2
autopep8 1:2.3.1-1
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.3-1
base 3-2
base-devel 1-1
bash 5.2.026-5
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-6
blas 3.12.0-5
blosc 1.21.5-2
bluez-libs 5.77-1
boost-libs 1.83.0-9
botan2 2.19.5-1
breeze-icons 6.3.0-1
brotli 1.1.0-2
btrfs-progs 6.9.2-1
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.29.0-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.102-1
ca-certificates-utils 20240618-1
cairo 1.18.0-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calibre 7.14.0-1
cameractrls 0.6.6-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.0-5
cdparanoia 10.2-9
cfitsio 1:4.4.1-1
chmlib 0.40-7
chromaprint 1.5.1-8
chromium 126.0.6478.126-1
cifs-utils 7.0-4
clang 18.1.8-1
cmake 3.30.0-1
compiler-rt 18.1.8-1
confuse 3.3-4
coreutils 9.5-1
cppdap 1.58.0-2
cryptsetup 2.7.3-1
cuda 12.5.1-1
curl 8.8.0-1
cython 3.0.10-5
